qid flag pid rank predict_score algorithm
2962 A2 3888132 1.0 1.9535508155822754 LM
2962 A2 4478498 2.0 1.9005862474441528 LM
2962 A2 6412182 3.0 1.7799829244613647 LM
2962 A2 5618749 4.0 1.77359938621521 LM
2962 A2 316254 5.0 1.7712879180908203 LM
2962 A2 2931420 6.0 1.6494181156158447 LM
2962 A2 2267544 7.0 1.6432337760925293 LM
2962 A2 4734331 8.0 1.6406298875808716 LM
2962 A2 7314667 9.0 1.6285688877105713 LM
2962 A2 2939412 10.0 1.580987811088562 LM
2962 A2 6417815 11.0 1.5777711868286133 LM
2962 A2 4734330 12.0 1.5480517148971558 LM
2962 A2 4702930 13.0 1.4807484149932861 LM
2962 A2 5618752 14.0 1.4640259742736816 LM
2962 A2 4160537 15.0 1.4377098083496094 LM
2962 A2 7314664 16.0 1.4329434633255005 LM
2962 A2 1512941 17.0 1.4146292209625244 LM
2962 A2 8581532 18.0 1.3891078233718872 LM
2962 A2 260283 19.0 1.3585920333862305 LM
2962 A2 7630623 20.0 1.3511083126068115 LM
2962 A2 4702927 21.0 1.3097591400146484 LM
2962 A2 316255 22.0 1.3049899339675903 LM
2962 A2 2699078 23.0 1.301836609840393 LM
2962 A2 316250 24.0 1.2953728437423706 LM
2962 A2 658631 25.0 1.2873890399932861 LM
2962 A2 4702926 26.0 1.2600358724594116 LM
2962 A2 5618750 27.0 1.2577306032180786 LM
2962 A2 6417816 28.0 1.249728798866272 LM
2962 A2 6205336 29.0 1.2460010051727295 LM
2962 A2 921863 30.0 1.2443464994430542 LM
2962 A2 4702925 31.0 1.2425386905670166 LM
2962 A2 1472598 32.0 1.2385799884796143 LM
2962 A2 921865 33.0 1.2305266857147217 LM
2962 A2 921866 34.0 1.223101019859314 LM
2962 A2 4734328 35.0 1.2163482904434204 LM
2962 A2 7630628 36.0 1.2033966779708862 LM
2962 A2 7314666 37.0 1.1967406272888184 LM
2962 A2 921862 38.0 1.1876603364944458 LM
2962 A2 7231374 39.0 1.1810237169265747 LM
2962 A2 6417817 40.0 1.1806628704071045 LM
2962 A2 741242 41.0 1.1793546676635742 LM
