qid flag pid rank predict_score algorithm
2962 A2 1837206 1.0 1.0319054126739502e-05 NN
2962 A2 7667422 2.0 1.1208467185497284e-05 NN
2962 A2 7569432 3.0 2.3050233721733093e-05 NN
2962 A2 5912007 4.0 4.827044904232025e-05 NN
2962 A2 8674334 5.0 4.964042454957962e-05 NN
2962 A2 1786839 6.0 5.9592537581920624e-05 NN
2962 A2 800790 7.0 7.239356637001038e-05 NN
2962 A2 8478592 8.0 7.386226207017899e-05 NN
2962 A2 1552789 9.0 7.594004273414612e-05 NN
2962 A2 1622374 10.0 7.677264511585236e-05 NN
2962 A2 8613918 11.0 8.484255522489548e-05 NN
2962 A2 3884163 12.0 9.086541831493378e-05 NN
2962 A2 6734531 13.0 9.27262008190155e-05 NN
2962 A2 7494074 14.0 0.00011069700121879578 NN
2962 A2 2272757 15.0 0.00011409679427742958 NN
2962 A2 8107808 16.0 0.00011497968807816505 NN
2962 A2 5989122 17.0 0.000125102698802948 NN
2962 A2 3266139 18.0 0.00014602672308683395 NN
2962 A2 1431452 19.0 0.00016732700169086456 NN
2962 A2 4262697 20.0 0.00017394963651895523 NN
2962 A2 6116251 21.0 0.0001789475791156292 NN
2962 A2 4734333 22.0 0.00018345098942518234 NN
2962 A2 7648809 23.0 0.0001911199651658535 NN
2962 A2 2182912 24.0 0.00020022690296173096 NN
2962 A2 8146801 25.0 0.00021578744053840637 NN
2962 A2 1459855 26.0 0.0002324376255273819 NN
2962 A2 3537956 27.0 0.00024579185992479324 NN
2962 A2 5587128 28.0 0.0002459865063428879 NN
2962 A2 6995610 29.0 0.0002572950907051563 NN
2962 A2 3831046 30.0 0.0002668770030140877 NN
2962 A2 7508098 31.0 0.0002698739990592003 NN
2962 A2 5017166 32.0 0.0002710968255996704 NN
2962 A2 1399933 33.0 0.00029467977583408356 NN
2962 A2 3070597 34.0 0.0002979263663291931 NN
2962 A2 7088235 35.0 0.0003029797226190567 NN
2962 A2 5082323 36.0 0.00030306680127978325 NN
2962 A2 3638234 37.0 0.0003158021718263626 NN
2962 A2 2045848 38.0 0.0003282208926975727 NN
2962 A2 5712409 39.0 0.00033817440271377563 NN
2962 A2 4989024 40.0 0.00034919846802949905 NN
2962 A2 921861 41.0 0.00035697687417268753 NN
2962 A2 2227732 42.0 0.0003619212657213211 NN
2962 A2 1979834 43.0 0.0003759041428565979 NN
2962 A2 8126308 44.0 0.00037814443930983543 NN
2962 A2 2187645 45.0 0.0003964025527238846 NN
2962 A2 2757183 46.0 0.0004115672782063484 NN
2962 A2 3072482 47.0 0.000431752298027277 NN
2962 A2 741242 48.0 0.00044432468712329865 NN
2962 A2 2487841 49.0 0.0004646475426852703 NN
2962 A2 968527 50.0 0.0004653865471482277 NN
2962 A2 5892908 51.0 0.0004762299358844757 NN
2962 A2 43215 52.0 0.00048709195107221603 NN
2962 A2 6069726 53.0 0.0004879208281636238 NN
2962 A2 6516058 54.0 0.0004996429197490215 NN
2962 A2 8436462 55.0 0.0004998911172151566 NN
2962 A2 2246708 56.0 0.0005058934912085533 NN
2962 A2 1743920 57.0 0.0005077756941318512 NN
2962 A2 2116721 58.0 0.0005085738375782967 NN
2962 A2 5412760 59.0 0.0005115475505590439 NN
2962 A2 3336634 60.0 0.0005169752985239029 NN
2962 A2 3141827 61.0 0.0005385857075452805 NN
2962 A2 6194420 62.0 0.0005802139639854431 NN
2962 A2 1882239 63.0 0.0005955477245151997 NN
2962 A2 533988 64.0 0.000596141442656517 NN
2962 A2 6762854 65.0 0.0006053410470485687 NN
2962 A2 1608037 66.0 0.000635836273431778 NN
2962 A2 4828358 67.0 0.0006457967683672905 NN
2962 A2 7299092 68.0 0.0006542298942804337 NN
2962 A2 934582 69.0 0.0006784182041883469 NN
2962 A2 3826392 70.0 0.000682581216096878 NN
2962 A2 1704293 71.0 0.0006874818354845047 NN
